[2022-09-14 22:54:22.678][info ][command:null][tid:01][org.pf4j.DefaultPluginStatusProvider] Enabled plugins: []
[2022-09-14 22:54:22.746][info ][command:null][tid:01][org.pf4j.DefaultPluginStatusProvider] Disabled plugins: []
[2022-09-14 22:54:22.747][info ][command:null][tid:01][org.pf4j.DefaultPluginManager] PF4J version 0.0.0 in 'deployment' mode
[2022-09-14 22:54:22.773][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.python@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.lua@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.go@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.rust@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.haskell@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.dotnet@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.ocaml@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.halide@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.js@0.0.1' resolved
[2022-09-14 22:54:22.774][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.apple.project@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.d@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.gwt@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.filebundler@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.filegroup@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.zip.rules@0.0.1' resolved
[2022-09-14 22:54:22.775][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.project.intellij@0.0.1' resolved
[2022-09-14 22:54:22.776][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.python@0.0.1'
[2022-09-14 22:54:22.777][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.lua@0.0.1'
[2022-09-14 22:54:22.778][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.go@0.0.1'
[2022-09-14 22:54:22.778][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.rust@0.0.1'
[2022-09-14 22:54:22.779][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.haskell@0.0.1'
[2022-09-14 22:54:22.779][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.dotnet@0.0.1'
[2022-09-14 22:54:22.780][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.ocaml@0.0.1'
[2022-09-14 22:54:22.780][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.halide@0.0.1'
[2022-09-14 22:54:22.781][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.js@0.0.1'
[2022-09-14 22:54:22.781][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.apple.project@0.0.1'
[2022-09-14 22:54:22.782][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.d@0.0.1'
[2022-09-14 22:54:22.782][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.gwt@0.0.1'
[2022-09-14 22:54:22.783][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.filebundler@0.0.1'
[2022-09-14 22:54:22.783][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.filegroup@0.0.1'
[2022-09-14 22:54:22.784][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.zip.rules@0.0.1'
[2022-09-14 22:54:22.786][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.project.intellij@0.0.1'
[2022-09-14 22:54:22.904][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Loading configuration for /Users/paulot/simple_cache
[2022-09-14 22:54:22.912][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Loaded project configuration file /Users/paulot/simple_cache/.buckconfig
[2022-09-14 22:54:22.915][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Adding configuration overrides RawConfig{values={}}
[2022-09-14 22:54:22.963][debug][command:null][tid:01][com.facebook.buck.cli.MainRunner] Rotating log.
